O_Purpose,D_Purpose,Distance,Travel_Time,Age_Group,Gender,License,HH_Size,Num_Student,Num_Driver,Num_Worker,Num_Vehicle,HH_Income,HH_Trips,TRAVEL_MODE
1,4,7.506,35,5,1,1,3,1,3,2,3,8,10,4
4,1,8.073,25,5,1,1,3,1,3,2,3,8,10,4
1,9,5.069,10,13,2,1,2,0,2,0,2,8,6,3
9,1,6.908,10,13,2,1,2,0,2,0,2,8,6,3
1,9,2.546,10,13,2,1,2,0,2,0,2,8,6,3
9,1,2.562,10,13,2,1,2,0,2,0,2,8,6,3
1,9,0.819,10,13,1,1,2,0,2,0,2,8,6,3
9,1,0.836,10,13,1,1,2,0,2,0,2,8,6,3
4,1,1.099,10,12,2,1,1,0,1,0,1,6,5,3
1,9,3.122,30,10,2,1,4,0,3,1,2,5,28,4
9,1,0.902,15,10,2,1,4,0,3,1,2,5,28,4
1,9,4.889,15,10,2,1,4,0,3,1,2,5,28,4
9,4,4.438,15,10,2,1,4,0,3,1,2,5,28,4
4,9,2.217,15,10,2,1,4,0,3,1,2,5,28,4
9,4,4.292,25,10,2,1,4,0,3,1,2,5,28,4
1,1,3.122,30,9,1,1,4,0,3,1,2,5,28,3
1,9,0.845,15,9,1,1,4,0,3,1,2,5,28,3
9,9,4.889,15,9,1,1,4,0,3,1,2,5,28,3
9,4,4.438,15,9,1,1,4,0,3,1,2,5,28,3
4,9,2.217,15,9,1,1,4,0,3,1,2,5,28,3
9,4,4.292,25,9,1,1,4,0,3,1,2,5,28,3
1,2,2.602,15,6,1,1,4,0,3,1,2,5,28,3
2,4,2.285,30,6,1,1,4,0,3,1,2,5,28,3
4,1,0.551,45,6,1,1,4,0,3,1,2,5,28,3
1,4,3.884,45,6,1,1,4,0,3,1,2,5,28,3
4,1,4.267,45,6,1,1,4,0,3,1,2,5,28,3
1,9,5.452,15,6,1,1,4,0,3,1,2,5,28,3
9,1,5.45,30,6,1,1,4,0,3,1,2,5,28,3
1,9,3.122,30,1,2,2,4,0,3,1,2,5,28,4
9,9,0.843,15,1,2,2,4,0,3,1,2,5,28,4
9,9,4.832,15,1,2,2,4,0,3,1,2,5,28,4
9,1,4.438,15,1,2,2,4,0,3,1,2,5,28,4
1,9,2.217,15,1,2,2,4,0,3,1,2,5,28,4
9,9,4.292,25,1,2,2,4,0,3,1,2,5,28,4
1,2,2.507,15,5,1,2,3,2,1,2,1,4,14,4
2,1,2.333,15,5,1,2,3,2,1,2,1,4,14,4
9,8,1.071,10,2,1,2,3,2,1,2,1,4,14,4
1,1,2.265,10,2,1,2,5,2,2,1,3,2,30,4
8,1,1.592,10,1,1,2,5,2,2,1,3,2,30,4
4,1,2.692,15,10,1,1,2,0,2,2,3,8,12,3
4,1,1.692,12,11,2,1,2,0,2,0,2,7,13,3
1,9,9.465,25,11,2,1,2,0,2,0,2,7,13,3
9,1,9.713,22,11,2,1,2,0,2,0,2,7,13,3
9,1,10.381,25,8,2,1,4,2,2,2,3,8,20,3
9,1,10.381,25,2,2,2,4,2,2,2,3,8,20,4
1,8,8.603,30,1,2,2,4,2,2,2,3,8,20,4
8,1,10.381,25,1,2,2,4,2,2,2,3,8,20,4
1,9,1.149,10,11,2,1,2,0,2,1,2,6,8,3
1,2,2.151,25,9,1,1,2,0,1,1,1,4,2,3
2,1,4.31,27,9,1,1,2,0,1,1,1,4,2,3
1,9,4.557,25,10,1,1,1,0,1,0,1,6,9,3
9,4,1.556,20,10,1,1,1,0,1,0,1,6,9,3
4,9,1.575,15,10,1,1,1,0,1,0,1,6,9,3
9,9,2.432,13,10,1,1,1,0,1,0,1,6,9,3
1,2,3.494,15,6,1,1,3,1,2,2,2,7,12,3
2,1,3.469,15,6,1,1,3,1,2,2,2,7,12,3
9,1,3.145,15,4,2,2,3,1,2,2,2,7,12,4
9,1,6.371,30,11,2,1,2,0,2,0,2,7,5,3
1,9,6.022,30,11,1,1,2,0,2,0,2,7,5,3
